Start time	End time	Start DateTime	End DateTime	Scattering conc (#/cm3-STP)	Incandescent Conc (#/cm3-STP)	Scattering mass conc (ng/m3-STP)	Total scattering mass conc (ng/m3-STP)	Incandescent mass conc (ng/m3-STP)	Total incandescent mass conc (ng/m3-STP)
45270	45280	3624698070	3624698080	55.477959	18.753113	946.9668	1062.4994	50.393326	50.393326
45280	45290	3624698080	3624698090	57.93903	20.876816	1003.5225	1093.4127	45.296307	45.296307
45290	45300	3624698090	3624698100	64.586082	22.427349	1106.5212	1351.4869	60.698048	68.374901
45300	45310	3624698100	3624698110	64.030952	21.851833	1115.3507	1276.6423	51.755806	51.755806
45310	45320	3624698110	3624698120	59.235466	22.21818	1026.13	1271.0188	54.334209	54.334209
45320	45330	3624698120	3624698130	69.121674	22.871143	1185.5706	1307.1752	55.88488	55.88488
45330	45340	3624698130	3624698140	72.05957	28.010124	1259.5079	1429.6827	67.759903	67.759903
45340	45350	3624698140	3624698150	83.850327	24.303308	1468.1274	1712.6431	59.775799	75.130173
45350	45360	3624698150	3624698160	93.147339	30.658558	1641.1362	1841.2968	74.992958	74.992958
45360	45370	3624698160	3624698170	86.968979	30.31982	1523.999	1727.219	74.341133	82.027527
45370	45380	3624698170	3624698180	92.932243	29.462498	1640.5912	1833.8317	73.968185	73.968185
45380	45390	3624698180	3624698190	100.29998	29.097931	1781.3405	1991.9425	71.177338	71.177338
45390	45400	3624698190	3624698200	99.904961	29.163345	1735.9987	1922.5099	70.20945	70.20945
45400	45410	3624698200	3624698210	108.09063	36.316891	1906.8334	2171.7451	84.466873	84.466873
45410	45420	3624698210	3624698220	108.76309	32.562393	1903.1458	2130.3997	80.196777	80.196777
45420	45430	3624698220	3624698230	107.81158	29.858526	1861.1034	2079.3018	67.003891	67.003891
45430	45440	3624698230	3624698240	106.51876	31.694113	1829.2606	2005.7815	84.640533	84.640533
45440	45450	3624698240	3624698250	116.68927	36.929459	2080.2666	2261.1907	84.484344	84.484344
45450	45460	3624698250	3624698260	100.30003	33.994701	1802.015	2002.0543	86.380089	94.075157
45460	45470	3624698260	3624698270	101.85415	33.32555	1834.837	2114.344	78.160042	78.160042
45470	45480	3624698270	3624698280	115.63109	31.848373	1968.8175	2268.9744	73.142044	73.142044
45480	45490	3624698280	3624698290	110.29716	31.161587	1892.0128	2092.7202	86.954659	94.636879
45490	45500	3624698290	3624698300	99.0084	28.885593	1729.0028	1952.3037	68.10994	75.789757
45500	45510	3624698300	3624698310	101.70705	29.332561	1811.3019	2017.5813	77.980301	85.654274
45510	45520	3624698310	3624698320	117.6835	35.520447	2091.6721	2336.5667	88.028915	88.028915
45520	45530	3624698320	3624698330	115.62988	36.524979	2039.4379	2267.6555	97.911026	97.911026
45530	45540	3624698330	3624698340	132.15201	36.784981	2296.0981	2500.9458	91.261269	98.949837
45540	45550	3624698340	3624698350	124.58344	33.600368	2160.1821	2374.78	88.844559	88.844559
45550	45560	3624698350	3624698360	115.35993	32.122581	2040.879	2219.4878	83.229942	83.229942
45560	45570	3624698360	3624698370	132.69353	34.316616	2269.6003	2498.4727	100.68616	100.68616
45570	45580	3624698370	3624698380	132.47607	34.703564	2343.5264	2588.5491	94.973198	102.66096
45580	45590	3624698380	3624698390	123.07176	37.269588	2203.3975	2478.4841	86.704247	86.704247
45590	45600	3624698390	3624698400	126.25888	34.341789	2159.7593	2401.0024	81.791382	81.791382
45600	45610	3624698400	3624698410	116.83797	36.626694	2052.9207	2247.5461	95.665718	103.34654
45610	45620	3624698410	3624698420	124.28957	37.232121	2173.2234	2360.8594	81.129562	81.129562
45620	45630	3624698420	3624698430	118.86407	35.06823	2118.6106	2321.6265	89.784393	89.784393
45630	45640	3624698430	3624698440	138.32603	38.628071	2454.2231	2784.3687	98.807014	98.807014
45640	45650	3624698440	3624698450	121.29367	33.627518	2137.7078	2391.5166	92.128166	92.128166
45650	45660	3624698450	3624698460	136.16322	38.055374	2413.8755	2694.5659	94.460396	94.460396
45660	45670	3624698460	3624698470	142.42581	43.091732	2515.8984	2864.7288	107.666	107.666
45670	45680	3624698470	3624698480	144.70998	42.6147	2536.002	2844.6194	99.41169	107.10032
45680	45690	3624698480	3624698490	131.01318	38.14061	2269.5615	2515.3518	108.38889	116.05923
45690	45700	3624698490	3624698500	132.1908	41.192158	2274.0002	2489.6084	102.9842	118.37122
45700	45710	3624698500	3624698510	130.9985	39.600563	2270.6743	2559.5791	96.540192	104.22141
45710	45720	3624698510	3624698520	103.58775	30.009577	1815.8802	2056.0259	72.382347	72.382347
45720	45730	3624698520	3624698530	106.47984	32.823143	1871.3325	2013.8698	86.017693	86.017693
45730	45740	3624698530	3624698540	120.86488	35.108742	2119.4692	2315.4578	84.851959	84.851959
45740	45750	3624698540	3624698550	139.65771	37.302074	2392.7085	2657.5117	96.178024	96.178024
45750	45760	3624698550	3624698560	92.461433	28.747526	1603.2294	1772.0151	67.19957	67.19957
45760	45770	3624698560	3624698570	95.580132	25.165007	1653.5164	1793.576	76.58445	76.58445
45770	45780	3624698570	3624698580	123.24756	35.554436	2182.9172	2419.0767	102.73732	110.4225
45780	45790	3624698580	3624698590	137.46712	38.070225	2393.095	2641.1956	93.173172	93.173172
45790	45800	3624698590	3624698600	126.96188	32.190273	2229.0403	2430.7144	82.801949	82.801949
45800	45810	3624698600	3624698610	128.01138	36.138866	2215.5471	2441.394	87.088318	87.088318
45810	45820	3624698610	3624698620	143.40211	40.063648	2493.6743	2756.5293	111.87546	111.87546
45820	45830	3624698620	3624698630	140.94054	38.633644	2463.3838	2711.5857	105.70964	105.70964
45830	45840	3624698630	3624698640	139.67775	36.260612	2432.0417	2649.4944	91.462143	99.155701
45840	45850	3624698640	3624698650	139.78273	41.446068	2377.2539	2611.7686	100.85964	100.85964
45850	45860	3624698650	3624698660	135.45691	41.086643	2303.6575	2620.3657	94.267281	94.267281
45860	45870	3624698660	3624698670	152.29991	43.329735	2635.146	2873.5674	110.58366	110.58366
45870	45880	3624698670	3624698680	128.46912	37.667568	2259.9072	2480.4175	93.892578	93.892578
45880	45890	3624698680	3624698690	109.15503	36.554424	1934.3362	2108.9915	95.2052	95.2052
45890	45900	3624698690	3624698700	101.85296	26.194101	1784.9888	2010.5298	55.29863	55.29863
45900	45910	3624698700	3624698710	115.37403	31.836794	2007.5378	2197.4407	74.387871	74.387871
45910	45920	3624698710	3624698720	122.02998	34.333191	2174.1226	2498.3586	78.377602	86.086899
45920	45930	3624698720	3624698730	100.50062	28.853909	1807.5905	1966.9684	75.043266	75.043266
45930	45940	3624698730	3624698740	78.692017	22.143114	1381.2101	1497.2205	54.731735	54.731735
45940	45950	3624698740	3624698750	88.918945	25.818964	1546.4688	1600.2583	70.2146	85.587585
45950	45960	3624698750	3624698760	116.29669	27.734396	2067.4109	2277.02	77.578125	77.578125
45960	45970	3624698760	3624698770	88.625351	25.092249	1544.7522	1718.3101	56.667355	56.667355
45970	45980	3624698770	3624698780	73.86438	22.706459	1308.4701	1509.0188	48.287975	48.287975
45980	45990	3624698780	3624698790	66.494354	21.111763	1157.5775	1297.1163	54.292557	54.292557
45990	46000	3624698790	3624698800	74.820488	24.48386	1331.0796	1508.5498	59.459862	59.459862
46000	46010	3624698800	3624698810	90.292076	24.225668	1601.2351	1684.5107	55.796543	55.796543
46010	46020	3624698810	3624698820	82.283302	25.019098	1439.5625	1580.0402	63.704914	63.704914
46020	46030	3624698820	3624698830	66.005119	22.130899	1191.4076	1443.463	41.907333	41.907333
46030	46040	3624698830	3624698840	63.715866	19.862526	1085.7793	1261.8302	39.724655	39.724655
46040	46050	3624698840	3624698850	61.517494	21.326065	1082.2385	1199.537	55.628315	55.628315
46050	46060	3624698850	3624698860	70.052269	21.101492	1244.2933	1398.2677	51.974655	59.638607
46060	46070	3624698860	3624698870	74.904335	21.918472	1292.8276	1433.3029	41.013809	41.013809
46070	46080	3624698870	3624698880	57.097847	20.564573	993.60193	1173.1583	62.659325	62.659325
46080	46090	3624698880	3624698890	50.570465	18.141521	864.22015	985.06854	40.566925	40.566925
46090	46100	3624698890	3624698900	41.726116	15.730238	739.97797	909.99933	42.605186	42.605186
46100	46110	3624698900	3624698910	38.713837	13.397947	672.18329	754.67725	29.78747	29.78747
46110	46120	3624698910	3624698920	36.806877	13.90482	638.20184	724.44269	37.117428	37.117428
46120	46130	3624698920	3624698930	28.685701	10.84983	497.67078	637.01288	24.271622	31.940201
46130	46140	3624698930	3624698940	33.003036	12.02587	584.30676	630.41608	27.140917	34.674873
46140	46150	3624698940	3624698950	36.359947	13.600881	637.22058	715.6792	29.813231	29.813231
46150	46160	3624698950	3624698960	37.914478	14.651432	653.62775	849.66742	30.121946	30.121946
46160	46170	3624698960	3624698970	37.217251	14.146452	640.72693	781.40784	28.123611	35.781075
46170	46180	3624698970	3624698980	42.913242	17.095203	742.67896	934.24719	54.282478	77.236237
46180	46190	3624698980	3624698990	38.850105	15.74267	700.55566	797.34418	40.524181	40.524181
